Fold,Accuracy,F1-score,Recall,Precision
Fold 1,0.9077,0.8979,0.9077,0.8989
Fold 2,0.9385,0.9369,0.9385,0.9377
Fold 3,0.9846,0.9841,0.9846,0.9849
Fold 4,0.9231,0.9197,0.9231,0.9258
Fold 5,0.9077,0.9077,0.9077,0.9077
Fold 6,0.9385,0.9383,0.9385,0.9391
Fold 7,0.9538,0.9545,0.9538,0.9654
Fold 8,0.9219,0.9205,0.9219,0.9202
Average,0.9345,0.9324,0.9345,0.935
